rank,heat,name,country,time,speed
1,1,MARCHANT Katy,GBR,11.242,64046
2,1,LEE Wai Sze,HKG,11.277,
3,1,BASOVA Liubov,UKR,11.374,
4,1,KRUPECKAITE Simona,LTU,11.441,
5,1,VOINOVA Anastasiia,RUS,11.659,
1,2,DEGRENDELE Nicky,BEL,11.108,64818
2,2,LEE Hyejin,KOR,11.19,
3,2,OHTA Riyu,JPN,11.403,
4,2,LOS Urszula,POL,11.475,
5,2,LEE Hoi Yan Jessica,HKG,11.485,
1,3,BRASPENNINCX Shanne,NED,10.753,66958
2,3,MORTON Stephanie,AUS,10.777,
3,3,BAYONA PINEDA Martha,COL,10.83,
4,3,HANSEN Natasha,NZL,10.858,
5,3,CASAS ROIGE Helena,ESP,11.206,
1,4,FRIEDRICH Lea Sophie,GER,11.312,63649
2,4,ANDREWS Ellesse,NZL,11.382,
3,4,MITCHELL Kelsey,CAN,11.49,
4,4,GROS Mathilde,FRA,11.625,
5,4,SHMELEVA Daria,RUS,14.219,
6,4,van RIESSEN Laurine,NED,DNF,
1,5,HINZE Emma,GER,10.892,66104
2,5,GODBY Madalyn,USA,10.98,
3,5,KOBAYASHI Yuka,JPN,11.067,
4,5,GENEST Lauriane,CAN,11.29,
5,5,du PREEZ Charlene,RSA,11.699,
6,5,PODMORE Olivia,NZL,11.874,
